Cycle; TotalWork; QueueSize; WIP; TotalTeams; BusyTeams;
87;10000;9917;1;10;1;
88;10000;9916;2;10;2;
89;10000;9915;1;10;1;
90;10000;9914;2;10;2;
91;10000;9913;1;10;1;
92;10000;9912;1;10;1;
93;10000;9911;1;10;1;
94;10000;9911;1;10;1;
95;10000;9910;1;10;1;
96;10000;9909;1;10;1;
97;10000;9908;1;10;1;
98;10000;9907;2;10;2;
99;10000;9906;1;10;1;
100;10000;9906;1;10;1;
101;10000;9905;1;10;1;
102;10000;9904;2;10;2;
103;10000;9903;1;10;1;
104;10000;9902;2;10;2;
105;10000;9901;2;10;2;
106;10000;9900;1;10;1;
107;10000;9899;2;10;2;
108;10000;9898;1;10;1;
109;10000;9897;2;10;2;
110;10000;9896;1;10;1;
111;10000;9895;2;10;2;
112;10000;9894;1;10;1;
113;10000;9893;2;10;2;
114;10000;9892;2;10;2;
115;10000;9892;1;10;1;
116;10000;9891;1;10;1;
117;10000;9890;2;10;2;
118;10000;9889;1;10;1;
119;10000;9888;2;10;2;
120;10000;9887;1;10;1;
121;10000;9886;2;10;2;
122;10000;9885;1;10;1;
123;10000;9884;1;10;1;
124;10000;9883;1;10;1;
125;10000;9882;1;10;1;
126;10000;9881;1;10;1;
127;10000;9880;2;10;2;
128;10000;9879;2;10;2;
129;10000;9878;2;10;2;
130;10000;9877;1;10;1;
131;10000;9876;2;10;2;
132;10000;9875;2;10;2;
133;10000;9874;2;10;2;
134;10000;9873;1;10;1;
135;10000;9872;1;10;1;
136;10000;9871;2;10;2;
137;10000;9870;1;10;1;
138;10000;9869;2;10;2;
139;10000;9868;1;10;1;
140;10000;9867;2;10;2;
141;10000;9866;1;10;1;
142;10000;9865;1;10;1;
143;10000;9864;1;10;1;
144;10000;9863;2;10;2;
145;10000;9862;2;10;2;
146;10000;9861;1;10;1;
147;10000;9860;2;10;2;
148;10000;9859;1;10;1;
149;10000;9859;1;10;1;
150;10000;9858;1;10;1;
151;10000;9857;1;10;1;
152;10000;9856;1;10;1;
153;10000;9855;1;10;1;
154;10000;9854;2;10;2;
155;10000;9853;1;10;1;
156;10000;9852;2;10;2;
157;10000;9851;1;10;1;
158;10000;9850;2;10;2;
159;10000;9849;1;10;1;
160;10000;9848;2;10;2;
161;10000;9847;1;10;1;
162;10000;9846;1;10;1;
163;10000;9845;2;10;2;
164;10000;9844;1;10;1;
165;10000;9843;1;10;1;
166;10000;9842;1;10;1;
167;10000;9841;2;10;2;
168;10000;9840;2;10;2;
169;10000;9839;1;10;1;
170;10000;9838;1;10;1;
171;10000;9837;2;10;2;
172;10000;9836;2;10;2;
173;10000;9835;2;10;2;
174;10000;9834;2;10;2;
175;10000;9833;1;10;1;
176;10000;9832;1;10;1;
177;10000;9831;1;10;1;
178;10000;9830;1;10;1;
179;10000;9829;2;10;2;
180;10000;9828;1;10;1;
181;10000;9827;2;10;2;
182;10000;9826;2;10;2;
183;10000;9825;1;10;1;
184;10000;9825;1;10;1;
